DESCRIPCION,CODIGO_ETAPA,DURACION_HORAS,bigrams
Validación programas formatos DIAN,APSEG,0.75,"{'programa formato', 'validación programa', 'formato DIAN'}"
Defectos priorizados CTO,APSEG,5.0,"{'priorizado CTO', 'Defectos priorizado'}"
Daily CTO bugs priorizados Fase II y Fase I,APSEG,0.25,"{'bugs priorizado', 'Daily CTO', 'Fase II', 'Fase I', 'CTO bugs', 'II Fase', 'priorizado Fase'}"
DAILY,PRSIS,0.5,set()
Elaboración del manual de usuario,PRSIS,0.5,"{'manual usuario', 'Elaboración manual'}"
Retrospective SP2 y SP3,PRSIS,1.0,"{'SP2 SP3', 'Retrospective SP2'}"
Elaboración del manual de usuario,PRSIS,2.0,"{'manual usuario', 'Elaboración manual'}"
Revisión de estado de fase 4 con respecto a documento de especificación técnica,APSEG,4.75,"{'Revisión fase', 'fase 4', '4 documento', 'especificación técnico', 'documento especificación'}"
Daily de seguimiento equipo de desarrollo asesoftware,APSEG,0.58,"{'equipo desarrollo', 'desarrollo asesoftwarar', 'Daily seguimiento', 'seguimiento equipo'}"
Apoyo a proyecto Co_1037 Finagro. Manual de usuario - Revisión Documental,ASEJE,3.0,"{'usuario Revisión', 'proyecto co_1037', 'Manual usuario', 'apoyo proyecto', 'Finagro Manual', 'Revisión Documental', 'co_1037 Finagro'}"
Apoyo a proyecto SICOFA. Cargue de data,ASEJE,3.0,"{'Cargue data', 'apoyo proyecto', 'sicofa Cargue', 'proyecto sicofa'}"
Apoyo a proyecto SICOFA. Cargue de data,ASEJE,2.0,"{'Cargue data', 'apoyo proyecto', 'sicofa Cargue', 'proyecto sicofa'}"
Verificación y cierre de 4 bugs,PRSIS,1.0,"{'cierre 4', '4 bugs', 'verificación cierre'}"
Verificación y cierre de 12 bugs ,PRSIS,3.0,"{'cierre 12', 'verificación cierre', '12 bugs'}"
Ejecución de casos de prueba,PRSIS,2.0,"{'caso prueba', 'ejecución caso'}"
"Se evidencia un error y es reportado en el correo Re: Casos de Prueba Certificación Laboratorio, se realiza el análisis y se inicia la corrección",COAJU,3.0,"{'realizar análisis', 'evidenciar error', 'Casos Prueba', 'reportado correo', 'análisis iniciar', 'Prueba Certificación', 'Certificación Laboratorio', 'iniciar corrección', 'error reportado', 'Re Casos', 'Laboratorio realizar', 'correo Re'}"
"se realiza la entrega de los artefactos con la corrección, se realizan pruebas en ambiente de desarrollo del banco",COAJU,3.0,"{'artefacto corrección', 'entrega artefacto', 'realizar prueba', 'corrección realizar', 'prueba ambiente', 'ambiente desarrollo', 'realizar entrega', 'desarrollo banco'}"
Ejecución de casos de prueba,PRSIS,3.0,"{'caso prueba', 'ejecución caso'}"
Pruebas de Regresión por impacto de hu3.1,PRSIS,1.0,"{'Regresión impacto', 'impacto hu3.1', 'Pruebas Regresión'}"
Ejecución de pruebas de Regresión,PRSIS,2.0,"{'Ejecución prueba', 'prueba Regresión'}"
Daily general,APSEG,1.0,{'Daily general'}
Daily y CO_1024 - Seguimiento geoespacial,APSEG,1.5,"{'Seguimiento geoespacial', 'CO_1024 Seguimiento', 'Daily CO_1024'}"
Certificación 12.3 y merge de rama de desarrollo,APSEG,2.0,"{'merge rama', 'rama desarrollo', 'Certificación 12.3', '12.3 merge'}"
Seguimiento de actividades,ASEJE,0.5,{'Seguimiento actividad'}
Daily: Seguimiento,APSEG,0.5,{'Daily Seguimiento'}
Daily,APSEG,0.5,set()
Daily,APSEG,0.25,set()
Daily,APSEG,0.5,set()
Daily,APSEG,0.25,set()
Daily,APSEG,0.5,set()
CUSISDET2VFE10 - Revisión a reglas de NC en base de datos.,APSEG,3.0,"{'base dato', 'regla NC', 'cusisdet2vfe10 Revisión', 'NC base', 'Revisión regla'}"
CUSISDET2VFE10 - Revisión a reglas de NC en base de datos.,APSEG,2.0,"{'base dato', 'regla NC', 'cusisdet2vfe10 Revisión', 'NC base', 'Revisión regla'}"
CUSISDET2VFE10 - Revisión a reglas de NC en base de datos.,APSEG,3.0,"{'base dato', 'regla NC', 'cusisdet2vfe10 Revisión', 'NC base', 'Revisión regla'}"
QA Ciclo 2,PRSIS,3.0,"{'Ciclo 2', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,2.0,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 2,PRSIS,1.0,"{'Ciclo 2', 'qa Ciclo'}"
QA Ciclo 2,PRSIS,3.0,"{'Ciclo 2', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,2.0,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,2.0,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,2.0,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,2.0,"{'Ciclo 1', 'qa Ciclo'}"
Daily,APSEG,0.5,set()
Task 207527: Verificación ajustes de bug´s,PRSIS,3.0,"{'ajuste bug´s', 'task 207527', 'Verificación ajuste', '207527 Verificación'}"
Task 207527: Verificación ajustes de bug´s,PRSIS,1.0,"{'ajuste bug´s', 'task 207527', 'Verificación ajuste', '207527 Verificación'}"
"- Daily
- Revisión de bugs",PRSIS,3.0,"{'Daily \r\n', 'Revisión bugs', '\r\n Revisión'}"
- Pruebas de regresión y cierre de bugs,PRSIS,2.0,"{'cierre bugs', 'regresión cierre', 'prueba regresión'}"
- Ejecución de casos de prueba,PRSIS,3.0,"{'caso prueba', 'ejecución caso'}"
Reunión de seguimiento diario VFE,APSEG,0.5,"{'diario VFE', 'seguimiento diario', 'reunión seguimiento'}"
mejoras en conexión a BD mongo para despliegue en ambiente de manuel,COAJU,2.25,"{'despliegue ambiente', 'BD mongo', 'ambiente manuel', 'conexión BD', 'mejora conexión', 'mongo despliegue'}"
Reunión de seguimiento,APSEG,1.0,{'reunión seguimiento'}
Actividad  9. Usar paquete que envíe correo de confirmacion a solicitante y gestor.,COAJU,2.33,"{'solicitante gestor', '  9', '9 paquete', 'Actividad  ', 'envíar correo', 'paquete envíar', 'confirmacion solicitante', 'correo confirmacion'}"
